1462434679 685 0 0 0 0 0 0
1462435316 752 0 0 0 0 0 0
1462435828 759 0 0 0 0 0 0
1462447172 850 0 0 0 0 0 0
1463650989 855 0 0 0 0 0 0
1466146071 944 0 0 0 0 0 0
1467276492 963 0 0 0 0 0 0
1469077844 982 0 0 0 0 0 0
1469079167 988 0 0 0 0 0 0
1469695484 995 0 0 0 0 0 0
1470053735 1026 0 0 0 0 0 0
1470057305 1034 0 0 0 0 0 0
1473392781 1039 0 0 0 0 0 0
1476251856 1364 0 0 0 0 0 0
1476349568 1375 0 0 0 0 0 0
1476758530 1399 0 0 0 0 0 0
1478064527 1415 0 0 0 0 0 0
1479215946 1422 0 0 0 0 0 0
1479216048 1427 0 0 0 0 0 0
1481205924 1488 0 0 0 0 0 0
1481248391 1491 0 0 0 0 0 0
1481250668 1500 0 0 0 0 0 0
1483083232 1500 0 0 0 0 0 277
1483090983 1500 0 0 0 0 1 277
1483094692 1500 0 0 0 0 1 277
1483536194 1566 0 0 0 0 1 277
1483930706 1576 0 0 0 0 1 277
1483930991 1578 0 0 0 0 1 277
1483934585 1616 0 0 0 0 1 277
1483934644 1618 0 0 0 0 1 277
1485083663 1633 0 0 0 0 1 277
1487231447 1640 0 0 0 0 1 277
1487733072 1675 0 0 0 0 1 277
1490582181 1681 0 0 0 0 1 277
1490693982 1699 0 0 0 0 1 277
1490694114 1701 0 0 0 0 1 277
1490845566 1707 0 0 0 0 1 277
1490845608 1708 0 0 0 0 1 277
1490845664 1709 0 0 0 0 1 277
1490845805 1711 0 0 0 0 1 277
1493957072 1714 0 0 0 0 1 277
1493957273 1720 0 0 0 0 1 277
1493957368 1722 0 0 0 0 1 277
1501591899 1734 0 0 0 0 1 277
1506060984 1742 0 0 0 0 1 277
1507787983 1742 0 0 105 0 1 277
1507788518 1742 0 0 106 0 1 277
1507860989 1742 0 0 106 0 1 277
1507861436 1808 0 0 106 0 1 277
1511169695 1818 0 0 106 0 1 277
1511172603 4432 0 0 106 0 1 277
1515151630 4938 0 0 106 0 1 277
1522306421 4946 0 0 106 0 1 277
1522308320 4968 0 0 106 0 1 277
1522309953 4983 0 0 106 0 1 277
1522391102 4989 0 0 106 0 1 277
1526612662 4991 0 0 106 0 1 277
1530196920 5082 0 0 106 0 1 277
1533181943 5120 0 0 106 0 1 277
1535019764 5134 0 0 106 0 1 277
1535019821 5138 0 0 106 0 1 277
1543228805 5138 145 0 106 0 1 277
1543282896 5138 184 0 106 0 1 277
1543456027 5138 189 0 106 0 1 277
1543456715 5138 201 0 106 0 1 277
1543471134 5138 201 0 106 0 1 277
1543475857 5138 204 0 106 0 1 277
1543565665 5138 550 0 106 0 1 277
1543576615 5138 609 0 106 0 1 277
1543740639 5138 706 0 106 0 1 277
1543828805 5138 713 0 106 0 1 277
1543829680 5138 731 0 106 0 1 277
1543830393 5138 733 0 106 0 1 277
1543830981 5138 733 0 106 0 1 277
1543839361 5138 738 0 106 0 1 277
1544066463 5138 740 0 106 0 1 277
1544067548 5138 785 0 106 0 1 277
1544067566 5138 786 0 106 0 1 277
1544075608 5138 799 0 106 0 1 277
1544075651 5138 801 0 106 0 1 277
1544078866 5138 804 0 106 0 1 277
1544078909 5138 806 0 106 0 1 277
1544079112 5138 810 0 106 0 1 277
1544166802 5138 823 0 106 0 1 277
1544168015 5138 827 0 106 0 1 277
1545981906 5138 831 0 106 0 1 277
1545983982 5138 832 0 106 0 1 277
1545984165 5138 837 0 106 0 1 277
1545984255 5138 839 0 106 0 1 277
